Eviction ID,Address,City,State,Eviction Notice Source Zipcode,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Constraints Date,Supervisor District,Neighborhoods - Analysis Boundaries,Location,Shape,data_as_of,data_loaded_at,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,Fix It Zones as of 2018-02-07,Neighborhoods
S000843,1300 Block Of Verdugo Boulevard,La Canada,CA,91011,11/18/1997,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,,,,,,,,,,,,,,,
M170227,700 Block Of Panorama Drive,San Francisco,CA,94131,02/09/2017,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Twin Peaks,"(37.753401259, -122.454037942)",POINT (-122.454037942 37.753401259),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,48,7,8,38,38,5,4,1,63,,,1,,,48
E982175,300 Block Of 32nd Avenue,San Francisco,CA,94121,09/15/1998,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,1,Outer Richmond,"(37.783230011, -122.492418462)",POINT (-122.492418462 37.783230011),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,8,8,4,29,26,6,2,11,55,,,2,,,8
M201538,2000 Block Of Chestnut Street,San Francisco,CA,94123,10/27/2020,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,,2,Marina,"(37.800803175, -122.436797742)",POINT (-122.436797742 37.800803175),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,17,4,6,13,17,9,1,13,57,,,1,,21,17
E980646,1200 Block Of 18th Avenue,San Francisco,CA,94122,03/30/1998,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,7,Inner Sunset,"(37.764550555, -122.47618959)",POINT (-122.47618959 37.764550555),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,109,10,7,14,12,8,3,11,56,,,1,,,109
M163685,100 Block Of Broderick Street,San Francisco,CA,94117,12/02/2016,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,5,Haight Ashbury,"(37.771514704, -122.438872424)",POINT (-122.438872424 37.771514704),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,112,7,11,3,9,5,11,15,29492,,,1,,,112
E980894,800 Block Of Hayes Street,San Francisco,CA,94117,04/29/1998,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,5,Hayes Valley,"(37.775885087, -122.430365346)",POINT (-122.430365346 37.775885087),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,22,4,11,9,10,9,11,7,29492,,,1,,,22
E980069,600 Block Of 04th Avenue,San Francisco,CA,94118,01/09/1998,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,1,Inner Richmond,"(37.776396452, -122.461869919)",POINT (-122.461869919 37.776396452),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,5,8,4,11,11,6,2,11,54,,,1,,,5
M151434,300 Block Of Alemany Boulevard,San Francisco,CA,94110,06/09/2015,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,9,Bernal Heights,"(37.734079007, -122.412352779)",POINT (-122.412352779 37.734079007),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,83,9,2,2,2,7,7,10,28859,,,1,,,83
E992476,1300 Block Of Baker Street,San Francisco,CA,94115,12/08/1999,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,2,Presidio Heights,"(37.783383007, -122.442959505)",POINT (-122.442959505 37.783383007),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,103,8,6,31,31,6,1,15,29490,,,1,,,103
