"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","population_proper","density","source","incorporated","timezone","zips","id"
"Hawk Springs","Hawk Springs","WY","Wyoming","56015","Goshen","41.7852","-104.2650","","","53.5","polygon","False","America/Denver","82244 82217","1840017459"
"Red Butte","Red Butte","WY","Wyoming","56025","Natrona","42.8051","-106.4338","","","354.3","polygon","False","America/Denver","82604","1840018658"
"Douglas","Douglas","WY","Wyoming","56009","Converse","42.7547","-105.3834","6600.0","6541","552","polygon","True","America/Denver","82633","1840018655"
"Guernsey","Guernsey","WY","Wyoming","56031","Platte","42.2658","-104.7430","1171","1171","441","polygon","True","America/Denver","82214","1840021307"
"Manderson","Manderson","WY","Wyoming","56003","Big Horn","44.2699","-107.9641","118","118","53","polygon","True","America/Denver","82432","1840022342"
"Burris","Burris","WY","Wyoming","56013","Fremont","43.3641","-109.2749","","","2.5","point","False","America/Denver","82512","1840038364"
"Osage","Osage","WY","Wyoming","56045","Weston","43.9848","-104.4269","","","170.7","polygon","False","America/Denver","82723","1840018629"
"Cokeville","Cokeville","WY","Wyoming","56023","Lincoln","42.0712","-110.9598","547","547","179","polygon","True","America/Denver","83114","1840022363"
"Wamsutter","Wamsutter","WY","Wyoming","56037","Sweetwater","41.6679","-107.9790","484","484","108","polygon","True","America/Denver","82336","1840022374"
"Moorcroft","Moorcroft","WY","Wyoming","56011","Crook","44.2646","-104.9476","1063","1063","324","polygon","True","America/Denver","82721","1840022346"
"Egbert","Egbert","WY","Wyoming","56021","Laramie","41.1697","-104.2569","","","17.6","point","False","America/Denver","82053","1840038400"
"Byron","Byron","WY","Wyoming","56003","Big Horn","44.7964","-108.5082","614","614","261","polygon","True","America/Denver","82412 82431","1840022343"
"Auburn","Auburn","WY","Wyoming","56023","Lincoln","42.7944","-111.0135","","","79.7","polygon","False","America/Denver","83111","1840017450"
"Rozet","Rozet","WY","Wyoming","56005","Campbell","44.2780","-105.2061","","","42.1","point","False","America/Denver","82727","1840038386"
"Orin","Orin","WY","Wyoming","56009","Converse","42.6506","-105.1824","","","1.6","polygon","False","America/Denver","82633","1840026161"
"Lonetree","Lonetree","WY","Wyoming","56041","Uinta","41.0273","-110.1536","","","2.1","polygon","False","America/Denver","82936","1840017482"
"Pine Bluffs","Pine Bluffs","WY","Wyoming","56021","Laramie","41.1803","-104.0692","1152","1152","137","polygon","True","America/Denver","82082","1840022387"
"Y-O Ranch","Y-O Ranch","WY","Wyoming","56031","Platte","42.0351","-104.9229","","","16.9","polygon","False","America/Denver","82201","1840038439"
"Cody","Cody","WY","Wyoming","56029","Park","44.5212","-109.0550","9648.0","9836","372","polygon","True","America/Denver","82414","1840018595"
"Turnerville","Turnerville","WY","Wyoming","56023","Lincoln","42.8622","-110.9007","","","18.6","polygon","False","America/Denver","83112","1840018661"
"Sleepy Hollow","Sleepy Hollow","WY","Wyoming","56005","Campbell","44.2327","-105.4309","","","141.9","polygon","False","America/Denver","82718","1840038442"
"Gillette","Gillette","WY","Wyoming","56005","Campbell","44.2793","-105.5013","36446.0","32398","600","polygon","True","America/Denver","82718 82716 82717","1840019978"
"Veteran","Veteran","WY","Wyoming","56015","Goshen","41.9627","-104.3863","","","33.0","polygon","False","America/Denver","82243","1840018685"
"Hudson","Hudson","WY","Wyoming","56013","Fremont","42.9028","-108.5819","454","454","411","polygon","True","America/Denver","82515 82520","1840021270"
"Orchard Valley","Orchard Valley","WY","Wyoming","56021","Laramie","41.0966","-104.8194","","","354.4","point","False","America/Denver","82007","1840038410"
"Lovell","Lovell","WY","Wyoming","56003","Big Horn","44.8357","-108.3919","2421","2421","848","polygon","True","America/Denver","82431","1840021242"
"Elk Mountain","Elk Mountain","WY","Wyoming","56007","Carbon","41.6884","-106.4134","196","196","273","polygon","True","America/Denver","82324","1840021311"
